Host_IPAddress,Host_Name,Service_Name,Service_Index,Service_Descr,Service_Speed
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_19,19,FastEthernet0/19,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_2,2,FastEthernet0/2,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth2,2,FastEthernet0/2,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_2,2,FastEthernet0/2,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_20,20,FastEthernet0/20,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth20,20,FastEthernet0/20,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_20,20,FastEthernet0/20,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_21,21,FastEthernet0/21,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth21,21,FastEthernet0/21,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_21,21,FastEthernet0/21,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_22,22,FastEthernet0/22,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth22,22,FastEthernet0/22,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_22,22,FastEthernet0/22,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_23,23,FastEthernet0/23,10000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth23,23,FastEthernet0/23,10000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_23,23,FastEthernet0/23,10000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_24,24,FastEthernet0/24,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth24,24,FastEthernet0/24,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_24,24,FastEthernet0/24,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_25,25,Null0,4294967295
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth25,25,Null0,4294967295
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_25,25,Null0,4294967295
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_26,26,Vlan1,1000000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth26,26,Vlan1,1000000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_26,26,Vlan1,1000000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_3,3,FastEthernet0/3,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth3,3,FastEthernet0/3,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_3,3,FastEthernet0/3,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_4,4,FastEthernet0/4,10000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth4,4,FastEthernet0/4,10000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_4,4,FastEthernet0/4,10000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_5,5,FastEthernet0/5,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth5,5,FastEthernet0/5,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_5,5,FastEthernet0/5,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_6,6,FastEthernet0/6,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth6,6,FastEthernet0/6,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_6,6,FastEthernet0/6,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_7,7,FastEthernet0/7,10000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth7,7,FastEthernet0/7,10000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_7,7,FastEthernet0/7,10000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_8,8,FastEthernet0/8,10000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth8,8,FastEthernet0/8,10000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_8,8,FastEthernet0/8,10000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_9,9,FastEthernet0/9,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth9,9,FastEthernet0/9,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_9,9,FastEthernet0/9,100000000
